iid1	iid2	length	count	color
nephew-aunt80_g2-b2-i1	nephew-aunt80_g3-b1-i1	1443.489968	30	Avuncular
nephew-aunt81_g2-b2-i1	nephew-aunt81_g3-b1-i1	1563.277442	33	Avuncular
nephew-aunt82_g2-b2-i1	nephew-aunt82_g3-b1-i1	1594.236538	33	Avuncular
nephew-aunt83_g2-b2-i1	nephew-aunt83_g3-b1-i1	1449.917206	34	Avuncular
nephew-aunt84_g2-b2-i1	nephew-aunt84_g3-b1-i1	1479.321736	34	Avuncular
nephew-aunt85_g2-b2-i1	nephew-aunt85_g3-b1-i1	1264.592744	38	Avuncular
nephew-aunt86_g2-b2-i1	nephew-aunt86_g3-b1-i1	1438.688378	33	Avuncular
nephew-aunt87_g2-b2-i1	nephew-aunt87_g3-b1-i1	1279.599413	33	Avuncular
nephew-aunt88_g2-b2-i1	nephew-aunt88_g3-b1-i1	1502.161563	28	Avuncular
nephew-aunt89_g2-b2-i1	nephew-aunt89_g3-b1-i1	1861.211839	34	Avuncular
nephew-aunt9_g2-b2-i1	nephew-aunt9_g3-b1-i1	1186.624643	32	Avuncular
nephew-aunt90_g2-b2-i1	nephew-aunt90_g3-b1-i1	1504.393202	40	Avuncular
nephew-aunt91_g2-b2-i1	nephew-aunt91_g3-b1-i1	1631.834338	37	Avuncular
nephew-aunt92_g2-b2-i1	nephew-aunt92_g3-b1-i1	1700.397542	37	Avuncular
nephew-aunt93_g2-b2-i1	nephew-aunt93_g3-b1-i1	1569.647455	36	Avuncular
nephew-aunt94_g2-b2-i1	nephew-aunt94_g3-b1-i1	1721.081373	42	Avuncular
nephew-aunt95_g2-b2-i1	nephew-aunt95_g3-b1-i1	1206.531572	31	Avuncular
nephew-aunt96_g2-b2-i1	nephew-aunt96_g3-b1-i1	1297.347168	30	Avuncular
nephew-aunt97_g2-b2-i1	nephew-aunt97_g3-b1-i1	1479.227853	35	Avuncular
nephew-aunt98_g2-b2-i1	nephew-aunt98_g3-b1-i1	1722.128327	31	Avuncular
nephew-aunt99_g2-b2-i1	nephew-aunt99_g3-b1-i1	1475.38642	30	Avuncular
