Study Group,Order,Latitude,Longitude,Dates,pch,color,IID
Priobrazhenka_LBA,12,55.51,77.05,3249,22,#0072B2,
Zevakinskiy_LBA,13,50.2249,81.83678333,3476,24,#0072B2,
Zevakinskiy_LBA,13,50.2249,81.83678333,3084,24,#0072B2,
Zevakinskiy_LBA,13,50.2249,81.83678333,3051,24,#0072B2,
Zevakinskiy_LBA,13,50.2249,81.83678333,3013,24,#0072B2,
Zevakinskiy_LBA,13,50.2249,81.83678333,2976,24,#0072B2,
Zevakinskiy_LBA_o1,13,50.2249,81.83678333,2913,23,#0072B2,I3772
Maitan_MLBA_Alakul_o,14,50.09,74.44,3734,22,#CC79A7,I6792
Zevakinskiy_LBA_o2,14,50.2249,81.83678333,3053,25,#0072B2,I4267
AG3,15,56.05,92.87,18036,7,#73D055FF,
Altai_5500BP,16,53.337,83.93,5447,24,#E69F00,
Altai_5500BP,16,53.337,83.93,5919,24,#E69F00,
Altai_6500BP,16,53.337,83.93,6276,22,#E69F00,
Altai_7500BP,16,53.337,83.93,7458,21,#E69F00,
Altai_7500BP,16,53.337,83.93,7458,21,#E69F00,
AfontovaGora_HG,17,56.016,92.866,5781,22,#D55E00,
BZK002,17,55.990333,92.851,4709,21,#D55E00,
Itkul_HG,17,52.713,84.692,6050,25,#D55E00,
UstIsha_HG,17,52.18,85.965,7048,24,#D55E00,
DolgoeOzero_HG,18,56.2,95.7,6036,23,#E69F00,
Krasnoyarsk_MLBA,19,55.1924,89.3053,3600,21,#56B4E9,
Krasnoyarsk_MLBA,19,55.1924,89.3053,3600,21,#56B4E9,
Krasnoyarsk_MLBA,19,55.1924,89.3053,3600,21,#56B4E9,
Krasnoyarsk_MLBA,19,55.1924,89.3053,3600,21,#56B4E9,
Krasnoyarsk_MLBA,19,55.1924,89.3053,3600,21,#56B4E9,
Krasnoyarsk_MLBA,19,55.1924,89.3053,3600,21,#56B4E9,
Krasnoyarsk_MLBA,19,55.1924,89.3053,3600,21,#56B4E9,
Krasnoyarsk_MLBA,19,55.1924,89.3053,3587,21,#56B4E9,
Krasnoyarsk_MLBA,19,53.87313333,91.46046667,3558,21,#56B4E9,
Krasnoyarsk_MLBA,19,54.17931667,91.57886667,3521,21,#56B4E9,
Krasnoyarsk_MLBA,19,53.87313333,91.46046667,3509,21,#56B4E9,
Krasnoyarsk_MLBA,19,55.1924,89.3053,3509,21,#56B4E9,
Krasnoyarsk_MLBA,19,53.87313333,91.46046667,3507,21,#56B4E9,
Krasnoyarsk_MLBA,19,54.17931667,91.57886667,3507,21,#56B4E9,
Krasnoyarsk_MLBA,19,54.17931667,91.57886667,3485,21,#56B4E9,
Krasnoyarsk_MLBA,19,53.82419444,84.61233333,3400,21,#56B4E9,
Krasnoyarsk_MLBA_o,19,55.1924,89.3053,3402,25,#56B4E9,
Dzhylinda-1,20,55.6689,115.8721,8419,11,red,
irk030,20,54.373847,105.209969,6000,9,red,
UKY,20,50.534142,106.274289,13929,10,red,
Kolyma1,21,68.6,159.1,9775,12,red,
Tarim_EMBA1,22,40.3364,88.6725,3900,8,#73D055FF,L5209
Tarim_EMBA1,22,40.3364,88.6725,3900,8,#73D055FF,L5213
Tarim_EMBA1,22,40.3364,88.6725,3900,8,#73D055FF,L4964
Tarim_EMBA1,22,40.3364,88.6725,3645,8,#73D055FF,L6101
Tarim_EMBA1,22,40.3364,88.6725,3675,8,#73D055FF,L6103
Tarim_EMBA1,22,40.3364,88.6725,3900,8,#73D055FF,L6105
Tarim_EMBA1,22,40.3364,88.6725,3900,8,#73D055FF,L6106
Tarim_EMBA1,22,40.6782,88.9342,3959,8,#73D055FF,GMGM1
Tarim_EMBA1,22,40.3364,88.6725,3757,8,#73D055FF,XHM100
Tarim_EMBA1,22,40.3364,88.6725,3900,8,#73D055FF,XHM110
Tarim_EMBA1,22,40.3364,88.6725,3778,8,#73D055FF,XHM135
Tarim_EMBA1,22,40.3364,88.6725,3900,8,#73D055FF,XHM75
Geoksyur_EN,23,37.1907,61.0343,5168,13,blue1,I8510
Geoksyur_EN,23,37.1907,61.0343,5100,13,blue1,I8528
Geoksyur_EN,23,37.1907,61.0343,5100,13,blue1,I8527
Geoksyur_EN,23,37.1907,61.0343,5100,13,blue1,I8526
Geoksyur_EN,23,37.1907,61.0343,5100,13,blue1,I12478
Geoksyur_EN,23,37.1907,61.0343,5100,13,blue1,I12479
Geoksyur_EN,23,37.1907,61.0343,5100,13,blue1,I8529
Geoksyur_EN,23,37.1907,61.0343,5100,13,blue1,I8532
Geoksyur_EN,23,37.1907,61.0343,5100,13,blue1,I8505
Geoksyur_EN,23,37.1907,61.0343,5100,13,blue1,I12484
Geoksyur_EN,23,37.1907,61.0343,5100,13,blue1,I8530
Geoksyur_EN,23,37.1907,61.0343,5100,13,blue1,I8503
Geoksyur_EN,23,37.1907,61.0343,5100,13,blue1,I8524
Geoksyur_EN,23,37.1907,61.0343,5100,13,blue1,I12482
Geoksyur_EN,23,37.1907,61.0343,5100,13,blue1,I12483
Geoksyur_EN,23,37.1907,61.0343,5100,13,blue1,I12487
Geoksyur_EN,23,37.1907,61.0343,5100,13,blue1,I12480
Geoksyur_EN,23,37.1907,61.0343,5100,13,blue1,I12481
Geoksyur_EN,23,37.1907,61.0343,5100,13,blue1,I12485
Geoksyur_EN,23,37.1907,61.0343,5100,13,blue1,I12486
Geoksyur_EN,23,37.1907,61.0343,4959,13,blue1,I8504
